"FRDM-MCXC444  Revised: Wednesday, March 13, 2024",,,,,,,,,,
SCH-93440 PDF: SPF-93440           Revision: A,,,,,,,,,,
,,,,,,,,,,
NXP Semiconductors,,,,,,,,,,
6501 William Cannon Drive West,,,,,,,,,,
"Austin, TX 78735-8598",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Bill Of Materials            May 29,2024      16:10:20",Page1,,,,,,,,,
,,,,,,,,,,
Item,Quantity,AgilePN,Description,MFG,MFG_PN,VALUE,ASSY_OPT,FIND#,PRE_APN,Reference
______________________________________________,,,,,,,,,,
,,,,,,,,,,
1,20,150-75182,CAP CER 0.1UF 16V 10% X7R 0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,0.1UF,,,,"C2,C3,C7,C8,C9,C11,C14,C24,C26,C30,C31,C32,C34,C35,C36,C39,C42,C46,C47,C50"
2,2,150-75680,CAP CER 12PF 50V 5% C0G 0402,NIC COMPONENTS CORP,NMC0402NPO120J50TRPF,12PF,DNP,,,"C4,C6"
3,2,150-76334,CAP CER 1000PF 50V 5% C0G 0402,MURATA,GRM1555C1H102JA01D,1000pF,,,,"C5,C10"
4,1,150-76334,CAP CER 1000PF 50V 5% C0G 0402,MURATA,GRM1555C1H102JA01D,1000pF,DNP,,,C12
5,4,150-79665,CAP CER 2.2UF 10V 20% X5R 0402,KEMET,C0402C225M8PACTU,2.2UF,,,,"C13,C16,C28,C49"
6,2,150-80357,CAP CER 1uF 10V 10% X7S 0402,MURATA,GRM155C71A105KE11D,1uF,,,,"C15,C51"
7,4,150-78675,CAP CER 10UF 10V 10% X5R 0603,MURATA,GRM188R61A106KE69D,10uF,DNP,,,"C17,C18,C19,C22"
8,5,150-79569,CAP CER 10uF 25V 10% X5R 0603,SANYEAR,C0603X5R106K250NT,10uF,,,,"C20,C21,C25,C29,C33"
9,3,150-80128,CAP CER 4.7uF 16V 10% X5R 0603,MURATA,GRM188R61C475KAAJD,4.7uF,,,,"C23,C27,C48"
10,3,150-79357,CAP CER 47pF 50V 5% C0G AEC-Q200 0603,TDK,CGA3E2C0G1H470J080AA,47pF,,,,"C37,C38,C43"
11,2,150-79530,CAP CER 22uF 10V 20% X5R 0603,SAMSUNG,CL10A226MP7LUNC,22uF,,,,"C40,C41"
12,2,150-30180,CAP CER 12PF 25V 5% C0G 0402,KEMET,C0402C120J3GAC7867,12PF,DNP,,,"C44,C45"
13,1,336-76578,"LCD DISPLAY 7-SEG 0.17"" 3.3V TH",LUMEX,LCD-S401M16KR,LCD-S401M16KR,,,,DS1
14,2,370-76632,LED RED SGL 20MA 0603,LITE ON,LTST-C193KRKT-5A,RED,,,,"D1,D9"
15,1,480-78396,DIODE ZNR -- 3V 200MW SOD323,ON SEMICONDUCTOR,MM3Z3V0T1G,3.0V,DNP,,,D2
16,1,370-76899,LED RED/GRN/BL TRI 20/20/20MA SMT,"Lianyungang Meihua Electronics Technology Co.,Ltd",MHPA2525RGBDT-S,RGB,,,,D3
17,2,480-76978,DIODE SCH 1A 30V MICROSMP SMT,VISHAY INTERTECHNOLOGY,MSS1P3L-M3/89A,MSS1P3L,,,,"D4,D6"
